Sample	AS	ASprime	LOH_n_seg	LOH_frac_altered
TCGA-2G-AAHN-01	19	27	31	0.13450721888792275
TCGA-2G-AAHP-01	20	27	18	0.098331657
TCGA-2G-AAHP-05	17	26	36	0.13751231031659406
TCGA-2G-AAHT-01	18	34	57	0.18214116516412285
TCGA-2G-AAKD-01	18	36	34	0.17281266185614574
TCGA-2G-AAKG-01	21	31	24	0.14469012542135687
TCGA-2G-AAKG-05	22	33	41	0.15119329290013067
TCGA-2G-AAKH-01	17	72	59	0.2260076008484863
TCGA-2G-AAKL-01	24	32	135	0.3857840329711647
TCGA-2G-AAKM-01	20	33	84	0.29890234191753234
TCGA-2G-AAKO-01	34	46	6	0.028403422220560706
TCGA-2G-AAKO-05	2	4	2	6.860095701403223e-05
TCGA-2G-AAL5-01	19	37	39	0.12163711306801762
TCGA-2G-AAL7-01	22	30	9	0.060463404672399614
TCGA-2G-AALF-01	18	29	25	0.090904447
TCGA-2G-AALG-01	19	39	59	0.16332459130829638
TCGA-2G-AALN-01	19	32	102	0.3186788395140351
TCGA-2G-AALO-01	22	35	42	0.12126658815638401
TCGA-2G-AALP-01	25	33	59	0.15601432586837566
TCGA-2G-AALQ-01	22	31	46	0.13783323625904162
TCGA-2G-AALR-01	10	18	45	0.11873905082512645
TCGA-2G-AALS-01	21	36	50	0.2486526151164304
TCGA-2G-AALT-01	15	29	19	0.09062269
TCGA-2G-AALW-01	19	31	25	0.12113663581571907
TCGA-2G-AALX-01	20	30	119	0.3484589904643306
TCGA-2G-AALY-01	17	29	43	0.16502070744274794
TCGA-2G-AALZ-01	17	36	48	0.2138020052712236
TCGA-2G-AAM2-01	22	34	53	0.13709452091692598
TCGA-2G-AAM3-01	21	32	45	0.16641778719180608
TCGA-2G-AAM4-01	16	34	76	0.2409001297205523
TCGA-2X-A9D5-01	19	30	32	0.118856607
TCGA-2X-A9D6-01	13	23	28	0.11379474099667515
TCGA-4K-AA1G-01	13	28	43	0.1263347362697892
TCGA-4K-AA1H-01	4	3	29	0.11169753519541284
TCGA-4K-AA1I-01	17	32	27	0.042039535
TCGA-4K-AAAL-01	27	64	17	0.048553620859662194
TCGA-S6-A8JW-01	21	23	12	0.037116507
TCGA-S6-A8JX-01	19	24	18	0.037243754511241726
TCGA-S6-A8JY-01	19	27	62	0.2509049077071983
TCGA-SB-A6J6-01	31	47	69	0.3182182365362488
TCGA-SB-A76C-01	17	26	46	0.2427416618793172
TCGA-SN-A6IS-01	16	28	56	0.2016914028601236
TCGA-SN-A84W-01	16	33	25	0.079698747
TCGA-SN-A84X-01	23	25	52	0.096378295
TCGA-SN-A84Y-01	23	29	82	0.3206366170828509
TCGA-SO-A8JP-01	20	54	36	0.096227899
TCGA-VF-A8A8-01	13	33	105	0.2416946578396721
TCGA-VF-A8A9-01	18	24	42	0.10720207746567548
TCGA-VF-A8AA-01	27	22	13	0.066466629
TCGA-VF-A8AB-01	16	28	40	0.15892607806105713
TCGA-VF-A8AC-01	23	20	16	0.073903336
TCGA-VF-A8AD-01	20	32	33	0.1445050586624374
TCGA-VF-A8AE-01	19	56	31	0.14482733604023168
TCGA-W4-A7U2-01	20	34	69	0.18533522736242491
TCGA-W4-A7U3-01	12	28	14	0.028530919
TCGA-W4-A7U4-01	16	26	51	0.077925491
TCGA-WZ-A7V3-01	20	35	68	0.2551227361387566
TCGA-WZ-A7V4-01	22	31	35	0.18002813979377014
TCGA-WZ-A7V5-01	19	36	36	0.18191903644510785
TCGA-WZ-A8D5-01	20	56	17	0.064907607
TCGA-X3-A8G4-01	27	61	55	0.1350946599346937
TCGA-XE-A8H1-01	20	37	25	0.061938334
TCGA-XE-A8H4-01	18	28	39	0.096036751
TCGA-XE-A8H5-01	22	28	42	0.16505616417339364
TCGA-XE-A9SE-01	24	26	27	0.057920225012464376
TCGA-XE-AANI-01	14	32	46	0.16828470776662394
TCGA-XE-AANJ-01	19	38	60	0.1850879226733312
TCGA-XE-AANR-01	17	28	28	0.1311394422952134
TCGA-XE-AANV-01	16	23	8	0.048793643
TCGA-XE-AAO3-01	19	26	17	0.051969935
TCGA-XE-AAO4-01	21	22	32	0.13772793546028306
TCGA-XE-AAO6-01	20	25	16	0.056427319444449564
TCGA-XE-AAOB-01	16	32	28	0.1399108086165863
TCGA-XE-AAOC-01	21	32	81	0.3035927394659545
TCGA-XE-AAOD-01	17	37	44	0.17284642572631204
TCGA-XE-AAOF-01	16	26	18	0.070008285
TCGA-XE-AAOJ-01	15	34	31	0.1005722480432062
TCGA-XE-AAOL-01	27	46	74	0.21201665747235168
TCGA-XY-A89B-01	21	31	18	0.052310863100022816
TCGA-XY-A8S2-01	24	32	53	0.16685920228389214
TCGA-XY-A8S3-01	19	36	85	0.1777998195412163
TCGA-XY-A9T9-01	21	33	31	0.13340265909188426
TCGA-YU-A90P-01	19	33	67	0.14934323894568022
TCGA-YU-A90Q-01	15	21	16	0.12167691448558375
TCGA-YU-A90S-01	0	0	13	0.000569819
TCGA-YU-A90W-01	33	43	44	0.15282116020627495
TCGA-YU-A90Y-01	18	36	22	0.085228366
TCGA-YU-A912-01	20	31	18	0.087668385
TCGA-YU-A94D-01	5	5	10	0.000516838
TCGA-YU-A94I-01	20	31	133	0.3324565401695552
TCGA-YU-AA4L-01	15	36	45	0.12217738260095674
TCGA-YU-AA61-01	17	28	9	0.048456748
TCGA-ZM-AA05-01	18	22	367	0.12765641789171028
TCGA-ZM-AA06-01	19	34	78	0.1747336525308883
TCGA-ZM-AA0B-01	17	34	24	0.13340765074029656
TCGA-ZM-AA0D-01	11	8	94	0.1528243738637919
TCGA-ZM-AA0E-01	18	32	55	0.2170586089180546
TCGA-ZM-AA0F-01	10	10	71	0.3299864467728045
TCGA-ZM-AA0H-01	15	28	15	0.053804706800944034
TCGA-ZM-AA0N-01	30	33	34	0.188438634
TCGA-04-1331-01	7	15	52	0.3550889866082236
TCGA-04-1332-01	15	37	33	0.23424535008159195
TCGA-04-1335-01	6	15	38	0.3334036366467081
TCGA-04-1336-01	7	18	48	0.35725092475804643
TCGA-04-1337-01	15	27	16	0.23058806751619115
TCGA-04-1338-01	14	35	96	0.3270458937453272
TCGA-04-1341-01	19	42	79	0.3229263670161411
TCGA-04-1342-01	12	24	34	0.23018791660695925
TCGA-04-1343-01	23	36	52	0.2880894939083865
TCGA-04-1346-01	19	72	42	0.2922798654592808
TCGA-04-1347-01	21	69	36	0.26503744054840506
TCGA-04-1348-01	5	12	125	0.2356601880737656
TCGA-04-1349-01	27	18	31	0.3371298235034022
TCGA-04-1350-01	24	25	21	0.3006348394206801
TCGA-04-1351-01	20	70	49	0.2693309636556183
TCGA-04-1353-01	2	11	56	0.2637013689867672
TCGA-04-1356-01	16	27	127	0.4400615307184947
TCGA-04-1357-01	12	30	22	0.1890655395642254
TCGA-04-1360-01	17	30	70	0.3819041541910832
TCGA-04-1361-01	8	16	71	0.3747174826396261
TCGA-04-1362-01	16	38	58	0.3135070888079489
TCGA-04-1364-01	31	51	49	0.1350198777511934
TCGA-04-1365-01	9	15	69	0.29717882021551323
TCGA-04-1367-01	10	12	44	0.3031171295787249
TCGA-04-1371-01	21	40	60	0.31728482140349423
TCGA-04-1514-01	14	28	75	0.3175093890637408
TCGA-04-1516-01	10	48	88	0.4594618086041346
TCGA-04-1517-01	30	34	79	0.3163285946002645
TCGA-04-1519-01	12	8	22	0.2971014493519131
TCGA-04-1525-01	18	29	31	0.21703249459608204
TCGA-04-1530-01	18	62	37	0.2303485580396677
TCGA-04-1536-01	12	43	80	0.2888677538931434
TCGA-04-1542-01	25	32	36	0.3211944876263315
TCGA-04-1638-01	27	19	19	0.1883986977357648
TCGA-04-1644-01	9	11	40	0.2964671596865171
TCGA-04-1646-01	15	13	35	0.4017775492144817
TCGA-04-1648-01	9	11	34	0.2666276522046616
TCGA-04-1649-01	24	34	77	0.29378139173350953
TCGA-04-1651-01	5	14	54	0.36263617326474895
TCGA-04-1652-01	15	30	23	0.11985537681839885
TCGA-04-1654-01	4	18	64	0.3686738687913856
TCGA-04-1655-01	29	53	30	0.29006161436545325
TCGA-09-0364-01	11	30	79	0.3283268973706165
TCGA-09-0365-01	24	56	26	0.286422045
TCGA-09-0366-01	18	29	38	0.2215835146062476
TCGA-09-0367-01	12	54	36	0.2123689931661669
TCGA-09-0369-01	15	37	65	0.3758816110250718
TCGA-09-1659-01	17	38	55	0.19793563391286206
TCGA-09-1661-01	24	57	64	0.3728732536797571
TCGA-09-1662-01	4	12	53	0.27008945497603354
TCGA-09-1664-01	2	5	10	0.096055664
TCGA-09-1665-01	12	39	210	0.4539376028871345
TCGA-09-1666-01	3	16	55	0.3997094136498078
TCGA-09-1667-01	17	34	46	0.16746810436548548
TCGA-09-1668-01	18	25	44	0.3504583080809152
TCGA-09-1669-01	7	15	46	0.27685404918495793
TCGA-09-1672-01	25	26	5	0.1234549061358763
TCGA-09-1673-01	17	18	103	0.16086528990421184
TCGA-09-1674-01	24	30	33	0.3064239282106841
TCGA-09-1675-01	6	15	70	0.39186317348013866
TCGA-09-2043-01	9	46	114	0.4819278853272668
TCGA-09-2044-01	9	19	131	0.4129951511151972
TCGA-09-2049-01	14	34	36	0.233986933
TCGA-09-2050-01	10	16	73	0.4432286842021497
TCGA-09-2051-01	14	35	108	0.4437643150185123
TCGA-09-2053-01	16	17	79	0.4122082475525301
TCGA-09-2054-01	16	43	65	0.2793037402552648
TCGA-09-2055-01	6	16	31	0.2709236806828214
TCGA-10-0925-01	4	8	24	0.2162638083006828
TCGA-10-0926-01	20	29	34	0.2479260724756413
TCGA-10-0927-01	20	32	37	0.3577387850310132
TCGA-10-0928-01	7	23	112	0.5258982561028824
TCGA-10-0930-01	16	31	104	0.3845568101496785
TCGA-10-0931-01	6	19	49	0.3844403548406168
TCGA-10-0933-01	27	43	25	0.2713650032136041
TCGA-10-0934-01	0	3	17	0.080685483
TCGA-10-0935-01	18	32	31	0.1888034610228713
TCGA-10-0936-01	28	29	42	0.13117502844918685
TCGA-10-0937-01	4	16	42	0.2980835513236275
TCGA-10-0938-01	20	63	45	0.16922345666598604
TCGA-13-0714-01	5	18	96	0.33286418161390785
TCGA-13-0720-01	5	15	37	0.3894876633925152
TCGA-13-0723-01	21	30	65	0.282469725
TCGA-13-0724-01	22	35	84	0.2587613376786375
TCGA-13-0725-01	5	11	39	0.3002883322296908
TCGA-13-0726-01	8	15	46	0.2960583365041752
TCGA-13-0727-01	20	30	33	0.2118148402798675
TCGA-13-0730-01	23	36	37	0.2425362632214053
TCGA-13-0751-01	22	34	64	0.2186921363864804
TCGA-13-0755-01	5	11	54	0.2715987134884464
TCGA-13-0757-01	26	63	34	0.22832234619272235
TCGA-13-0758-01	20	25	56	0.28502892669265584
TCGA-13-0760-01	13	45	196	0.407273768
TCGA-13-0761-01	9	22	53	0.30782094688702744
TCGA-13-0762-01	23	61	80	0.2041627086636261
TCGA-13-0764-01	15	79	92	0.2977304567881079
TCGA-13-0766-01	5	21	99	0.4141860430801356
TCGA-13-0768-01	12	26	37	0.3579993949033156
TCGA-13-0791-01	8	10	136	0.2381586283329402
TCGA-13-0792-01	15	37	88	0.35104101251361985
TCGA-13-0793-01	11	14	48	0.4112381919928686
TCGA-13-0794-01	17	19	74	0.098793376
TCGA-13-0795-01	21	77	26	0.13749716003879314
TCGA-13-0797-01	7	13	55	0.3264712324778755
TCGA-13-0799-01	6	20	37	0.29554480101167724
TCGA-13-0800-01	29	25	39	0.13126959081016987
TCGA-13-0801-01	9	16	95	0.4490497955071725
TCGA-13-0802-01	13	35	27	0.1931089331251551
TCGA-13-0803-01	18	38	66	0.1878934952958783
TCGA-13-0804-01	14	17	38	0.3344206198805492
TCGA-13-0805-01	9	14	38	0.3765181159767913
TCGA-13-0807-01	16	30	105	0.27141621398314536
TCGA-13-0883-01	13	29	29	0.2610958446102139
TCGA-13-0884-01	22	59	19	0.22815206892680825
TCGA-13-0885-01	23	64	49	0.32201810377009416
TCGA-13-0886-01	7	13	39	0.2957330748029828
TCGA-13-0887-01	3	15	101	0.3862874278876103
TCGA-13-0888-01	25	64	93	0.4839267387145111
TCGA-13-0889-01	4	9	45	0.22881591715891936
TCGA-13-0890-01	12	18	79	0.5638732976855384
TCGA-13-0891-01	25	18	79	0.2750671688401945
TCGA-13-0893-01	6	34	100	0.2701903544018047
TCGA-13-0897-01	7	18	59	0.27660722198193965
TCGA-13-0899-01	23	67	25	0.1853937825333729
TCGA-13-0900-01	4	13	88	0.36161404928847096
TCGA-13-0901-01	17	30	49	0.1118110980088044
TCGA-13-0903-01	7	14	71	0.3284247671633044
TCGA-13-0904-01	13	38	114	0.3997675954751918
TCGA-13-0905-01	4	13	76	0.3347959530607667
TCGA-13-0906-01	4	21	42	0.35764229524653435
TCGA-13-0908-01	6	11	36	0.2484714891988011
TCGA-13-0910-01	13	15	61	0.3650922971018146
TCGA-13-0911-01	22	25	52	0.3731404167462434
TCGA-13-0912-01	8	8	51	0.1975661307396371
TCGA-13-0913-01	5	18	81	0.3950892566627153
TCGA-13-0916-01	9	18	93	0.5023427697407692
TCGA-13-0919-01	22	23	36	0.27387663049774713
TCGA-13-0921-01	17	41	84	0.15687980081539687
TCGA-13-0923-01	8	38	67	0.31290480347794297
TCGA-13-0924-01	11	14	33	0.4092347498751894
TCGA-13-1403-01	10	21	65	0.2817270118385736
TCGA-13-1404-01	9	15	68	0.3831590662438753
TCGA-13-1405-01	13	10	109	0.34582007256426983
TCGA-13-1407-01	26	34	44	0.16357537829720345
TCGA-13-1408-01	19	69	31	0.1681113074118908
TCGA-13-1409-01	23	59	19	0.2069806965654282
TCGA-13-1410-01	29	69	48	0.25962853450434376
TCGA-13-1411-01	24	37	30	0.2833262487905926
TCGA-13-1412-01	6	16	39	0.2543670741560338
TCGA-13-1477-01	4	4	8	0.05803584
TCGA-13-1481-01	7	17	73	0.3821614076634281
TCGA-13-1482-01	4	16	52	0.3369704137951204
TCGA-13-1483-01	8	15	47	0.28318882714015065
TCGA-13-1484-01	28	34	36	0.37936855536144654
TCGA-13-1485-01	10	8	4	0.017050000568965714
TCGA-13-1487-01	20	37	121	0.2521869513711812
TCGA-13-1488-01	14	33	43	0.1260840706234923
TCGA-13-1489-01	19	20	96	0.4966393948975485
TCGA-13-1491-01	14	15	67	0.5055208197325267
TCGA-13-1492-01	14	11	38	0.3280091319488971
TCGA-13-1494-01	6	18	92	0.4977788741247781
TCGA-13-1495-01	17	21	80	0.2681644762376237
TCGA-13-1496-01	20	24	47	0.1943743236351092
TCGA-13-1497-01	7	42	129	0.4621851987780129
TCGA-13-1498-01	5	12	111	0.3177098279111723
TCGA-13-1499-01	16	31	43	0.27536870983703604
TCGA-13-1500-01	10	13	31	0.2461437005217036
TCGA-13-1501-01	7	14	83	0.3511238928031743
TCGA-13-1504-01	23	62	56	0.2327383575338516
TCGA-13-1505-01	8	14	52	0.2927519890726724
TCGA-13-1506-01	16	27	55	0.11620484548742292
TCGA-13-1507-01	19	33	45	0.1999616184265363
TCGA-13-1509-01	7	13	111	0.389574676
TCGA-13-1510-01	8	12	118	0.3818302919348512
TCGA-13-1511-01	5	9	116	0.21050602055221465
TCGA-13-1512-01	7	18	89	0.5071130248802271
TCGA-13-1817-01	19	15	33	0.4784126795473657
TCGA-13-1819-01	8	20	112	0.42517031987217696
TCGA-13-2057-01	28	61	60	0.2701834891815305
TCGA-13-2059-01	13	34	137	0.43226486135242825
TCGA-13-2060-01	20	38	68	0.2604346857273208
TCGA-13-2061-01	10	34	127	0.4301830259984093
TCGA-13-2065-01	19	26	47	0.4365542830293575
TCGA-13-2071-01	6	17	81	0.3662836148185849
TCGA-13-A5FT-01	8	13	308	0.3229411992179455
TCGA-13-A5FU-01	17	31	89	0.16537239075862087
TCGA-20-0987-01	6	12	103	0.2363546729616477
TCGA-20-0990-01	19	29	64	0.2532894278335624
TCGA-20-0991-01	21	27	16	0.1112471594817792
TCGA-20-1682-01	10	19	70	0.5102320277338259
TCGA-20-1683-01	19	36	73	0.3186777834881909
TCGA-20-1684-01	14	36	130	0.23063775213863635
TCGA-20-1685-01	13	28	53	0.28150616238785825
TCGA-20-1686-01	20	33	57	0.15555585223919252
TCGA-20-1687-01	13	24	37	0.225722967
TCGA-23-1021-01	14	14	65	0.5403167016470704
TCGA-23-1022-01	12	38	70	0.2729678828277434
TCGA-23-1023-01	5	13	28	0.2430959015755557
TCGA-23-1024-01	16	30	29	0.10221210515329494
TCGA-23-1026-01	4	16	62	0.2960094767530213
TCGA-23-1027-01	7	17	49	0.3692987413051193
TCGA-23-1028-01	4	15	72	0.4365232838288742
TCGA-23-1029-01	7	13	30	0.2917832927180797
TCGA-23-1030-01	17	34	44	0.13603496700901166
TCGA-23-1031-01	13	35	43	0.26230812758625355
TCGA-23-1032-01	14	26	84	0.21613672448345872
TCGA-23-1109-01	19	25	45	0.17002112069514866
TCGA-23-1110-01	13	29	56	0.2900377620221768
TCGA-23-1111-01	25	54	25	0.13208777158770352
TCGA-23-1113-01	15	11	26	0.3667712154704941
TCGA-23-1114-01	23	65	39	0.14216473830379964
TCGA-23-1116-01	19	29	24	0.10182877104838003
TCGA-23-1117-01	11	28	96	0.37626856723664176
TCGA-23-1118-01	6	14	96	0.31121034304526163
TCGA-23-1119-01	17	53	21	0.13856824740872084
TCGA-23-1120-01	6	13	68	0.2956072784832983
TCGA-23-1121-01	15	43	168	0.3279101284973606
TCGA-23-1123-01	19	31	49	0.20625741946523435
TCGA-23-1124-01	9	37	98	0.3295752750426407
TCGA-23-1809-01	22	65	56	0.36391713192631797
TCGA-23-2072-01	21	34	90	0.2991224203999749
TCGA-23-2077-01	15	57	48	0.3169713342178958
TCGA-23-2078-01	7	16	77	0.3440740175366185
TCGA-23-2079-01	20	47	47	0.3565093434139037
TCGA-23-2081-01	7	15	53	0.2915351769798604
TCGA-23-2084-01	19	25	43	0.3134247311007901
TCGA-23-2641-01	8	15	57	0.40221939203993456
TCGA-23-2643-01	27	30	54	0.2637611837292607
TCGA-23-2645-01	15	35	104	0.3510979149680585
TCGA-24-0966-01	6	8	32	0.1596472703007464
TCGA-24-0968-01	21	36	68	0.21593081076481188
TCGA-24-0970-01	16	19	111	0.4300732384960119
TCGA-24-0975-01	8	15	29	0.372133685
TCGA-24-0979-01	13	36	32	0.18434344862020388
TCGA-24-0980-01	6	8	25	0.2220588284468386
TCGA-24-0982-01	23	41	43	0.3029486867053465
TCGA-24-1103-01	4	14	53	0.35018762653135715
TCGA-24-1104-01	8	18	48	0.3508683022138327
TCGA-24-1105-01	20	23	30	0.20399300684106408
TCGA-24-1413-01	12	16	29	0.34080702003392443
TCGA-24-1416-01	12	12	21	0.19815616990155932
TCGA-24-1417-01	15	32	60	0.3714075022430123
TCGA-24-1418-01	20	29	45	0.2556473521954609
TCGA-24-1419-01	7	12	27	0.2616944935342025
TCGA-24-1422-01	12	34	73	0.33013633807512216
TCGA-24-1423-01	14	15	56	0.3094661633288452
TCGA-24-1424-01	24	68	37	0.1630674857453566
TCGA-24-1425-01	10	18	51	0.3967630974366041
TCGA-24-1426-01	14	16	84	0.41371392485222935
TCGA-24-1427-01	17	40	72	0.3059723389209983
TCGA-24-1428-01	12	26	101	0.5587058814077323
TCGA-24-1430-01	6	20	50	0.40485984588185703
TCGA-24-1431-01	21	39	58	0.152298465
TCGA-24-1434-01	19	35	42	0.2314659185606088
TCGA-24-1435-01	8	22	61	0.26619215179197797
TCGA-24-1436-01	26	37	52	0.3028710784730805
TCGA-24-1463-01	13	19	46	0.3953341619853335
TCGA-24-1464-01	9	16	42	0.2792763295148955
TCGA-24-1466-01	17	23	169	0.2672854113519537
TCGA-24-1467-01	13	16	31	0.1746502354891408
TCGA-24-1469-01	12	67	150	0.4273120595840492
TCGA-24-1470-01	5	21	80	0.3964438145259413
TCGA-24-1471-01	25	30	12	0.2204279648952292
TCGA-24-1474-01	27	68	64	0.1468739728189687
TCGA-24-1544-01	23	29	34	0.1902530004562789
TCGA-24-1545-01	18	27	39	0.3760539121649342
TCGA-24-1546-01	7	14	85	0.4353955746458576
TCGA-24-1548-01	25	21	49	0.5042150797043572
TCGA-24-1549-01	13	16	81	0.2320955498933199
TCGA-24-1550-01	6	19	105	0.439982176
TCGA-24-1551-01	11	9	151	0.2346966534997764
TCGA-24-1552-01	18	34	26	0.1977269821371961
TCGA-24-1553-01	10	42	153	0.4699383248679945
TCGA-24-1555-01	7	10	35	0.17325461997311714
TCGA-24-1556-01	6	33	52	0.2542695678871001
TCGA-24-1557-01	11	32	86	0.3029429828936637
TCGA-24-1558-01	18	32	51	0.1875356291472033
TCGA-24-1562-01	14	11	44	0.2872792975990138
TCGA-24-1563-01	7	12	44	0.26405065212826684
TCGA-24-1564-01	20	35	48	0.3010342543386469
TCGA-24-1565-01	7	8	11	0.1203090007923026
TCGA-24-1567-01	9	22	73	0.4759538688236003
TCGA-24-1603-01	10	11	45	0.3196058675868593
TCGA-24-1604-01	18	35	52	0.21384684473628668
TCGA-24-1614-01	16	22	64	0.4261572850092301
TCGA-24-1616-01	18	25	27	0.1888328249407935
TCGA-24-1842-01	16	23	109	0.2497815794353952
TCGA-24-1843-01	17	32	68	0.17556290519800316
TCGA-24-1844-01	19	31	18	0.093050564
TCGA-24-1845-01	12	79	59	0.3438382121769569
TCGA-24-1846-01	10	17	56	0.4776177341167022
TCGA-24-1847-01	13	32	43	0.23609375292490364
TCGA-24-1849-01	3	12	31	0.3215286629859501
TCGA-24-1850-01	22	36	121	0.3705958537972998
TCGA-24-1852-01	20	66	65	0.20421002944897035
TCGA-24-1923-01	29	17	19	0.31083835896817075
TCGA-24-1927-01	7	12	72	0.3018498206351615
TCGA-24-1928-01	20	28	25	0.14483321206196262
TCGA-24-1930-01	17	29	42	0.2748792793767565
TCGA-24-2019-01	21	34	71	0.2706910195446036
TCGA-24-2020-01	22	55	111	0.4516089729624928
TCGA-24-2023-01	14	11	167	0.361484701
TCGA-24-2024-01	5	9	46	0.3052525624846709
TCGA-24-2026-01	28	50	86	0.15793056779635306
TCGA-24-2027-01	11	15	65	0.4031616186723521
TCGA-24-2029-01	10	11	32	0.2837229720662774
TCGA-24-2030-01	9	40	80	0.28507686215955785
TCGA-24-2033-01	13	27	36	0.17434600551578147
TCGA-24-2035-01	5	16	60	0.2871164663803009
TCGA-24-2038-01	7	4	3	0.000737054
TCGA-24-2254-01	12	18	65	0.4730300209481198
TCGA-24-2260-01	20	37	115	0.4066046846184788
TCGA-24-2261-01	16	32	64	0.4138229320031979
TCGA-24-2262-01	6	12	103	0.2676345608321926
TCGA-24-2267-01	10	35	59	0.2142053862452487
TCGA-24-2271-01	10	19	32	0.4401874339620461
TCGA-24-2280-01	12	76	50	0.17795830728180154
TCGA-24-2281-01	11	27	33	0.15541775680314185
TCGA-24-2288-01	19	61	121	0.42569712488961137
TCGA-24-2289-01	15	44	186	0.5282188979029588
TCGA-24-2290-01	7	26	73	0.3692137009118231
TCGA-24-2293-01	23	28	66	0.4346753530339625
TCGA-24-2295-01	22	69	36	0.08952377
TCGA-24-2297-01	1	32	162	0.5720779673852046
TCGA-24-2298-01	14	33	166	0.5046789953475024
TCGA-25-1312-01	26	32	54	0.2818689590240175
TCGA-25-1313-01	12	33	68	0.3162813340949679
TCGA-25-1314-01	10	39	51	0.2988869147811574
TCGA-25-1315-01	6	17	56	0.277938434
TCGA-25-1316-01	19	34	2	0.028808082762372938
TCGA-25-1317-01	27	29	26	0.32577659503394923
TCGA-25-1318-01	23	51	44	0.2703058190810672
TCGA-25-1319-01	18	30	34	0.067822057
TCGA-25-1320-01	25	47	25	0.074429912
TCGA-25-1321-01	24	56	47	0.4008365796522047
TCGA-25-1322-01	17	11	86	0.3350266224005385
TCGA-25-1323-01	24	70	63	0.3440616343071689
TCGA-25-1329-01	20	29	13	0.089105252
TCGA-25-1623-01	11	37	30	0.41446041250368654
TCGA-25-1625-01	5	16	42	0.2901890875313527
TCGA-25-1626-01	25	37	25	0.5536354124085199
TCGA-25-1627-01	11	38	75	0.4641850267281846
TCGA-25-1628-01	28	31	19	0.22611756239564115
TCGA-25-1630-01	10	23	81	0.31154425929954743
TCGA-25-1631-01	8	11	17	0.2430211621794617
TCGA-25-1632-01	10	20	27	0.17232937347718644
TCGA-25-1633-01	20	34	34	0.3624637947280528
TCGA-25-1634-01	29	68	23	0.18308114553873495
TCGA-25-1635-01	21	33	21	0.34429952144292153
TCGA-25-1870-01	25	50	16	0.1102044437493316
TCGA-25-1871-01	28	47	63	0.247659847
TCGA-25-1877-01	22	36	82	0.4052213403567511
TCGA-25-1878-01	22	77	36	0.2750533729355327
TCGA-25-2042-01	7	16	48	0.35522777711219544
TCGA-25-2391-01	5	15	56	0.31744891130548875
TCGA-25-2392-01	22	66	53	0.1959372853462636
TCGA-25-2393-01	13	40	73	0.17573702116687864
TCGA-25-2396-01	14	33	53	0.2746504709976097
TCGA-25-2397-01	4	20	115	0.4259700213350187
TCGA-25-2398-01	19	66	25	0.11544256
TCGA-25-2399-01	8	9	52	0.17882645227431573
TCGA-25-2400-01	22	71	54	0.27913391815821365
TCGA-25-2401-01	8	14	64	0.27624012552929256
TCGA-25-2404-01	15	28	28	0.2458303909095021
TCGA-25-2408-01	6	5	4	0.1054389870485118
TCGA-29-1688-01	5	15	38	0.2945369536812702
TCGA-29-1690-01	4	3	3	0.047393104
TCGA-29-1691-01	8	38	85	0.3694884437835961
TCGA-29-1692-01	12	34	76	0.4552372909871184
TCGA-29-1693-01	13	20	71	0.33957021203322524
TCGA-29-1694-01	8	13	48	0.30591309902492964
TCGA-29-1695-01	26	44	52	0.1741002486179032
TCGA-29-1696-01	2	13	37	0.238847372
TCGA-29-1697-01	12	20	78	0.4782337877128724
TCGA-29-1698-01	24	61	36	0.2561986738019022
TCGA-29-1699-01	18	51	42	0.14002359973987713
TCGA-29-1701-01	22	38	47	0.2571946320257761
TCGA-29-1702-01	20	34	102	0.19963023502565053
TCGA-29-1703-01	17	32	32	0.1573253751292259
TCGA-29-1704-01	6	14	82	0.3030648411752072
TCGA-29-1705-01	6	17	66	0.3561528154184436
TCGA-29-1707-01	8	18	61	0.35620300766313584
TCGA-29-1710-01	11	40	59	0.3646489261674965
TCGA-29-1711-01	4	18	117	0.3417771897677792
TCGA-29-1761-01	18	41	113	0.31063209343022763
TCGA-29-1762-01	14	15	42	0.407644587
TCGA-29-1763-01	17	31	66	0.499249005
TCGA-29-1764-01	16	22	30	0.3167826862459899
TCGA-29-1766-01	22	54	44	0.39030576293868463
TCGA-29-1768-01	7	15	36	0.3213008916164236
TCGA-29-1769-01	8	21	87	0.4387933678993435
TCGA-29-1770-01	15	28	38	0.3423510034173668
TCGA-29-1771-01	5	4	15	0.13839244760251873
TCGA-29-1774-01	14	40	44	0.3648382456333305
TCGA-29-1775-01	15	27	58	0.2879996493056153
TCGA-29-1776-01	7	13	28	0.2927846383417203
TCGA-29-1777-01	7	14	106	0.4218575676094362
TCGA-29-1778-01	23	59	76	0.2557604395163776
TCGA-29-1781-01	9	15	126	0.4616291844447602
TCGA-29-1783-01	25	38	31	0.1942840701936044
TCGA-29-1784-01	12	34	55	0.3014078767327438
TCGA-29-1785-01	2	9	60	0.19480472141958846
TCGA-29-2425-01	20	33	36	0.2379470215153341
TCGA-29-2427-01	10	11	31	0.2902943440912599
TCGA-29-2428-01	27	22	56	0.3915418199517586
TCGA-29-2429-01	6	28	97	0.34506061056029563
TCGA-29-2431-01	16	34	54	0.18625615921687333
TCGA-29-2432-01	22	35	33	0.3231659849340415
TCGA-29-2434-01	7	39	154	0.4223304188066744
TCGA-29-2436-01	1	7	12	0.069457488
TCGA-29-A5NZ-01	24	29	102	0.1431163696116483
TCGA-30-1714-01	22	32	66	0.067853447
